video,num_fish,species_id,timeframe,sex,timeframe,adipose_clip,timeframe,floy_tag,timeframe,injury,timeframe,id_person,confidence_level,note
2019-10-07 18-42-39 Right Bank,1,coho,0:00:02,male,0:00:6,no,0:00:02,NA,NA,no,0:00:01,STB,3,
2019-10-07 18-47-35 Right Bank,1,coho ,0:00:04,male,0:00:04,no,0:00:04,NA,NA,no,0:00:02,STB,3,
2019-10-07 18-47-49 Right Bank,1,coho,0:00:04,female,0:00:04,no,0:00:04,NA,NA,no,0:00:04,STB,3,
2019-10-07 18-50-08 Right Bank,1,coho,0:00:04,male,0:00:04,no,0:00:04,NA,NA,no,0:00:04,STB,3,
2019-10-07 18-50-19 Right Bank,1,coho,0:00:03,male,0:00:03,no,0:00:03,NA,NA,no ,0:00:03,STB,3,
2019-10-07 18-56-41 Right Bank,1,coho,0:00:06,male,0:00:04,no,0:00:04,NA,NA,no,0:00:06,STB,2,
2019-10-07 18-57-54 Right Bank,1,coho,0:00:03,male,0:00:04,no,0:00:04,NA,NA,no,0:00:06,STB,3,
2019-10-07 18-58-07 Right Bank,1,coho,0:00:20,male,0:00:20,no,0:00:20,NA,NA,no,0:00:20,STB,3,
2019-10-07 18-58-30 Right Bank,1,sockeye,0:00:04,female,0:00:04,no,0:00:06,NA,NA,no,0:00:06,STB,1,sex?species?
2019-10-07 18-59-36 Right Bank,1,coho,0:00:06,female,0:00:06,no,0:00:06,NA,NA,no,0:00:06,STB,2,
10-07-2019 22-54-05 LeftBank Underwater,1,coho,0:00:04,male,0:00:04,no,0:00:04,NA,NA,no,0:00:06,STB,3,
10-07-2019 23-06-09 Left Bank Underwater,1,coho,0:00:010,male,0:00:10,no,0:00:10,NA,NA,yes,0:00:11,STB,3,tail
10-07-2019 23-12-09 Left Bank Underwater,1,coho,0:00:06,female,0:00:06,no,0:00:06,NA,NA,no,0:00:06,STB,3,
10-07-2019 23-14-29 Left Bank Underwater,1,coho,0:00:01,male,0:00:01,no,0:00:01,NA,NA,no,0:00:01,STB,3,
10-07-2019 23-15-00,1,sockeye,0:00:02,female,0:00:02,no,0:00:02,NA,NA,no,0:00:02,STB,2,
10-07-2019 23-15-35 Left Bank Underwater,1,coho,0:00:01,female,0:00:01,no,0:00:01,NA,NA,no,0:00:01,STB,2,very fast fish
10-07-2019 23-18-34 Left Bank Underwater ,1,coho,0:00:01,female,0:00:01,no,0:00:01,NA,NA,no,0:00:01,STB,2,very fast fish
2019-10-08 00-00-18 Right Bank,1,coho,0:00:04,male,0:00:04,yes,0:00:17,NA,NA,no,0:00:17 ,STB,3,
2019-10-08 00-02-26 Right Bank,1,coho,0:00:02,male,0:00:02,no,0:00:02,NA,NA,no,0:00:02,STB,3,
2019-10-08 00-04-20 Right Bank,1,sockeye,0:00:01,male,0:00:02,no,0:00:02,NA,NA,no,0:00:02,STB,3,
2019-10-08 00-04-28 Right Bank,1,coho,0:00:15,male,0:00:15,NA,NA,NA,NA,NA,NA,STB,3,
2019-10-08 00-06-45 Right Bank,1,sockeye,0:00:02,female,0:00:02,NA,NA,NA,NA,NA,NA,STB,2,sex?
2019-10-08 00-06-47 Right Bank,1,coho,0:00:07,jack,0:00:10,no,0:00:05,NA,NA,no,0:00:10,STB,2,jack?
2019-10-08 00-08-28 Right Bank,1,sockeye,0:00:01,male,0:00:01,no,0:00:02,NA,NA,NA,NA,STB,2,sex?
2019-10-08 00-09-12 Right Bank,1,coho,0:00:01,male,0:00:01,no,0:00:03,NA,NA,no,0:00:03,STB,3,
2019-10-08 00-10-53 Right Bank,1,coho,0:00:06,male,0:00:06,no,0:00:06,NA,NA,no,0:00:06,STB,3,
2019-10-08 00-11-14 Right Bank,1,coho,0:00:30,female,0:00:30,no,0:00:30,NA,NA,no,0:00:30,STB,3,
2019-10-08 00-13-03 Right Bank,1,coho,0:00:03,female,0:00:05,no,0:00:04,NA,NA,no,0:00:05,STB,3,
2019-10-08 00-19-00 Right Bank,1,sockeye,0:00:01,female,0:00:01,no,0:00:01,NA,NA,no,0:00:01,STB,2,
2019-10-08 00-23-16 Right Bank,1,coho,0:00:02,male,0:00:05,no,0:00:02,NA,NA,no,0:00:03,STB,3,
2019-10-08 00-26-42 Right Bank,1,coho,0:00:03,female,0:00:03,no,0:00:03,NA,NA,no,0:00:03,STB,3,
2019-10-08 00-31-32 Right Bank,1,coho,0:00:07,female,0:00:07,no,0:00:07,NA,NA,no,0:00:07,STB,2,
2019-10-08 00-34-53 Right Bank,1,coho,0:00:13 ,female,0:00:13,no,0:00:13,NA,NA,no,0:00:13,STB,3,
2019-10-08 00-39-24 Right Bank,1,coho,0:00:02,male,0:00:02,no,0:00:02,NA,NA,yes,0:00:02,STB,3,tail
2019-10-08 00-44-14 Right Bank,1,coho,0:00:04,male,0:00:17,no,0:00:17,NA,NA,no,0:00:15,STB,3,
2019-10-08 00-44-33 Right Bank,1,coho,0:00:04,male,0:00:04,yes,0:00:06,NA,NA,no,00:00:10,STB,3,
2019-10-08 00-45-03 Right Bank,1,coho,0:00:12,male,0:00:15,no,0:00:12,NA,NA,no,0:00:12,STB,3,
2019-10-08 00-47-15 Right Bank,1,coho,0:00:04,female,0:00:04,no,0:00:04,NA,NA,no,0:00:04,STB,3,
2019-10-08 00-50-49 Right Bank,1,coho,0:00:01,male,0:00:01,no,0:00:01,NA,NA,no,0:00:01,STB,3,
2019-10-08 00-51-05 Right Bank,1,coho,0:00:01,male,0:00:01,no,0:00:01,NA,NA,no,0:00:01,STB,2,
2019-10-08 00-52-38 Right Bank,1,coho,0:00:08,male,0:00:05,no,0:00:08,NA,NA,no,0:00:08,STB,3,
2019-10-08 00-59-58 Right Bank,1,coho,0:00:01,male,0:00:01,no,0:00:01,NA,NA,no,0:00:02,STB,3,
2019-10-08 01-03-22 Right Bank,1,coho,0:00:02,male,0:00:02,no,0:00:02,NA,NA,no,0:00:02,STB,3,
2019-10-08 01-06-49 Right Bank,1,sockeye,0:00:01,male,0:00:01,no,0:00:01,NA,NA,no,0:00:02,STB,2,sex?
2019-10-08 01-12-53 Right Bank,1,coho,0:00:02,female,0:00:02,no,0:00:02,NA,NA,no,0:00:02,STB,1,sex?jack?
2019-10-08 01-14-10 Right Bank,1,coho,0:00:01,male,0:00:01,no,0:00:20,NA,NA,no,0:00:20,STB,3,
2019-10-08 01-23-49 Right Bank,1,coho,0:00:01,male,0:00:02,no,0:00:02,NA,NA,no,0:00:02,STB,3,
2019-10-08 01-25-02 Right Bank,1,coho,0:00:02,female,0:00:03,no,0:00:02,NA,NA,no,0:00:05,STB,3,
2019-10-08 01-26-32 Right Bank,1,coho,0:00:02,female,0:00:02,no,0:00:02,NA,NA,no,0:00:03,STB,3,
2019-10-08 01-27-37 Right Bank,1,coho,0:00:03,female,0:00:03,no,0:00:04,NA,NA,no,0:00:04,STB,3,
2019-10-08 01-34-46 Right Bank,1,coho,0:00:03,male,0:00:03,no,0:00:02,NA,NA,no,0:00:03,STB,2,
2019-10-08 01-37-57 Right Bank,1,sockeye,0:00:03,female,0:00:03,NA,NA,NA,NA,NA,NA,STB,1,sex
2019-10-08 01-40-32 Right Bank,1,coho,0:00:04,male,0:00:05,no,0:00:03,NA,NA,no,0:00:05,STB,3,
2019-10-08 01-46-05 Right Bank,1,sockeye,0:00:02,male,0:00:02,no,0:00:02,NA,NA,no,0:00:03,STB,2,sex
2019-10-08 01-48-35 Right Bank,1,coho,0:00:01,male,0:00:01,no,0:00:01,NA,NA,NA,NA,STB,3,
2019-10-08 01-54-13 Right Bank,1,coho,0:00:04,male,0:00:02,no,0:00:05,NA,NA,no,0:00:06,STB,3,
2019-10-08 01-58-53 Right Bank,1,coho,0:00:02,female,0:00:02,no,0:00:02,NA,NA,no,0:00:04,STB,3,
2019-10-08 01-58-57 Right Bank,1,coho,0:00:06,male ,0:00:06,no,0:00:06,NA,NA,no,0:00:06,STB,3,
08-10-2019 11-44-15 M Underwater camera,2,pink,0:00:11,female,0:00:01,no,0:00:17,NA,NA,no,0:00:17,WIA,3,two fish in the video
08-10-2019 11-44-15 M Underwater camera,2,pink,0:00:12,male,0:00:12,no,0:00:16,NA,NA,no,0:00:17,WIA,3,two fish in the video
08-10-2019 11-45-14 M Underwater camera,1,pink,0:00:02,male,0:00:01,no,0:00:03,NA,NA,no,0:00:03,WIA,3,
08-10-2019 11-45-35 M Underwater camera,3,pink,0:00:01,male,0:00:01,no,0:00:12,NA,NA,no,0:00:13,WIA,3,three fish in the video
08-10-2019 11-45-35 M Underwater camera,3,pink,0:00:15,female,0:00:15,no,0:00:16,NA,NA,no,0:00:16,WIA,3,three fish in the video
08-10-2019 11-45-35 M Underwater camera,3,pink,0:00:16,male,0:00:16,no,0:00:16,NA,NA,no,0:00:16,WIA,3,three fish in the video
08-10-2019 11-46-30 M Underwater camera,1,pink,0:00:02,male,0:00:02,no,0:00:03,NA,NA,no,0:00:06,WIA,3,
08-10-2019 11-46-59 M Underwater camera,1,pink,0:00:02,female,0:00:02,no,0:00:10,NA,NA,no,0:00:10,WIA,3,
08-10-2019 11-48-29 M Underwater camera,2,pink,0:00:02,female,0:00:02,no,0:00:03,NA,NA,yes,0:00:03,WIA,3,two fish in screen - tail injury on fish in foreground
08-10-2019 11-48-29 M Underwater camera,2,pink,0:00:02,female,0:00:02,no,0:00:03,NA,NA,no,0:00:05,WIA,3,two fish in screen - tail injury on fish in foreground
08-10-2019 11-49-27 M Underwater camera,3,pink,0:00:03,male,0:00:02,no,0:00:05,NA,NA,no,0:00:06,WIA,3,three fish in the video
08-10-2019 11-49-27 M Underwater camera,3,pink,0:00:06,female,0:00:06,no,0:00:06,NA,NA,no,0:00:06,WIA,3,three fish in the video
08-10-2019 11-49-27 M Underwater camera,3,pink,0:00:13,female,0:00:13,NA,NA,NA,NA,NA,NA,WIA,3,three fish in the video - could not assess adipose or injury on final fish due to incomplete observation
08-10-2019 11-50-52 M Underwater camera,1,pink,0:00:02,male,0:00:02,no,0:00:12,NA,NA,no,0:00:12,WIA,3,
08-10-2019 11-51-51 M Underwater camera,2,pink,0:00:02,male,0:00:01,no,0:00:03,NA,NA,no,0:00:03,WIA,3,two fish in the video
08-10-2019 11-51-51 M Underwater camera,2,pink,0:00:04,male,0:00:04,no,0:00:06,NA,NA,no,0:00:06,WIA,3,two fish in the video
08-10-2019 11-52-10 M Underwater camera,1,pink,0:00:01,male,0:00:01,no,0:00:03,NA,NA,no,0:00:03,WIA,3,
08-10-2019 11-52-37 M Underwater camera,3,pink,0:00:02,male,0:00:02,no,0:00:03,NA,NA,no,0:00:04,WIA,3,three fish in video
08-10-2019 11-52-37 M Underwater camera,3,pink,0:00:05,male,0:00:05,no,0:00:12,NA,NA,no,0:00:12,WIA,3,three fish in video
08-10-2019 11-52-37 M Underwater camera,3,pink,0:00:12,female,0:00:12,no,0:00:13,NA,NA,no,0:00:13,WIA,3,three fish in video
08-10-2019 11-55-40 M Underwater camera,3,pink,0:00:00,female,0:00:00,no,0:00:02,NA,NA,NA,NA,WIA,1,three fish in video - this female we never see the whole body
08-10-2019 11-55-40 M Underwater camera,3,pink,0:00:05,male,0:00:05,no,0:00:13,NA,NA,no,0:00:13,WIA,3,three fish in video
08-10-2019 11-55-40 M Underwater camera,3,pink,0:00:06,male,0:00:06,no,0:00:19,NA,NA,no,0:00:19,WIA,3,three fish in video
08-10-2019 11-56-14 M Underwater camera,3,pink,0:00:02,female,0:00:02,NA,NA,NA,NA,NA,NA,WIA,1,three fish in video - this female we never see the whole body
08-10-2019 11-56-14 M Underwater camera,3,pink,0:00:08,male,0:00:08,no,0:00:13,NA,NA,no,0:00:14,WIA,3,three fish in video
08-10-2019 11-56-14 M Underwater camera,3,pink,0:00:10,male,0:00:10,no,0:00:11,NA,NA,no,0:00:11,WIA,3,three fish in video
08-10-2019 11-56-44 M Underwater camera,4,pink,0:00:00,male,0:00:00,NA,NA,NA,NA,NA,NA,WIA,2,four fish in video
08-10-2019 11-56-44 M Underwater camera,4,pink,0:00:00,male,0:00:00,NA,NA,NA,NA,NA,NA,WIA,2,four fish in video
08-10-2019 11-56-44 M Underwater camera,4,pink,0:00:03,female,0:00:03,no,0:00:04,NA,NA,no,0:00:05,WIA,3,four fish in video
08-10-2019 11-56-44 M Underwater camera,4,pink,0:00:06,female,0:00:06,no,0:00:06,NA,NA,no,0:00:06,WIA,3,four fish in video
08-10-2019 11-58-32 M Underwater camera,3,pink,0:00:05,female,0:00:05,no,0:00:05,NA,NA,no,0:00:08,WIA,3,three fish in video
08-10-2019 11-58-32 M Underwater camera,3,pink,0:00:05,female,0:00:05,no,0:00:06,NA,NA,no,0:00:06,WIA,3,three fish in video
08-10-2019 11-58-32 M Underwater camera,3,pink,0:00:05,female,0:00:05,no,0:00:09,NA,NA,no,0:00:09,WIA,3,three fish in video
08-10-2019 11-59-29 M Underwater camera,2,pink,0:00:02,male,0:00:02,no,0:00:02,NA,NA,no,0:00:02,WIA,3,two fish in video
08-10-2019 11-59-29 M Underwater camera,2,pink,0:00:03,male,0:00:03,no,0:00:04,NA,NA,no,0:00:04,WIA,3,two fish in video
08-10-2019 12-00-06 M Underwater camera,1,pink,0:00:02,male,0:00:02,no,0:00:03,NA,NA,no,0:00:04,WIA,3,
08-10-2019 12-01-16 M Underwater camera,1,pink,0:00:02,male,0:00:02,no,0:00:03,NA,NA,no,0:00:04,WIA,3,
08-10-2019 12-02-06 M Underwater camera,1,pink,0:00:01,male,0:00:01,no,0:00:02,NA,NA,no,0:00:02,WIA,3,
08-10-2019 12-02-48 M Underwater camera,1,pink,0:00:01,male,0:00:01,NA,NA,NA,NA,NA,NA,WIA,3,
08-10-2019 12-06-37 M Underwater camera,2,pink,0:00:01,female,0:00:01,no,0:00:02,NA,NA,no,0:00:02,WIA,3,two fish in video
08-10-2019 12-06-37 M Underwater camera,2,pink,0:00:03,female,0:00:03,no,0:00:05,NA,NA,no,0:00:05,WIA,3,two fish in video
08-10-2019 12-08-06 M Underwater camera,1,pink,0:00:02,male,0:00:02,NA,NA,NA,NA,NA,NA,WIA,3,
08-10-2019 12-10-06 M Underwater camera,2,pink,0:00:02,female,0:00:02,no,0:00:09,NA,NA,no,0:00:09,WIA,3,two fish in video
08-10-2019 12-10-06 M Underwater camera,2,pink,0:00:05,male,0:00:05,no,0:00:06,NA,NA,no,0:00:06,WIA,3,two fish in video
08-10-2019 12-11-21 M Underwater camera,1,pink,0:00:02,male,0:00:02,no,0:00:03,NA,NA,no,0:00:04,WIA,3,
08-10-2019 12-12-11 M Underwater camera,3,pink,0:00:00,female,0:00:00,no,0:00:00,NA,NA,no,0:00:00,WIA,3,three fish in video
08-10-2019 12-12-11 M Underwater camera,3,pink,0:00:10,female,0:00:10,no,0:00:11,NA,NA,no,0:00:11,WIA,3,three fish in video
08-10-2019 12-12-11 M Underwater camera,3,pink,0:00:12,female,0:00:12,no,0:00:13,NA,NA,no,0:00:14,WIA,3,three fish in video
08-12-2019 09-35-10 M Underwater camera,20,pink,0:00:02,male,0:00:02,no,0:00:03,NA,NA,no,0:00:04,WIA,3,this video is a cluster fuck of probably 20 fish
10-07-2019 23-01-12 C Left Bank Underwater,1,coho,0:00:03,male,0:00:08,no,0:00:01,NA,NA,no,0:00:02,BNA,2,sex - jack?
10-07-2019 23-13-44 C Left Bank Underwater ,1,coho,0:00:01,female,0:00:01,no,0:00:01,NA,NA,no,0:00:01,BNA,1,sex - fast fish
10-07-2019 22-46-40 C Left Bank Underwater,1,coho,0:00:01,male,0:00:01,no,0:00:01,NA,NA,no,0:00:01,BNA,1,sex - fast fish
10-07-2019 23-08-14 C Left Bank Underwater,1,coho,0:00:02,female,0:00:03,no,0:00:04,NA,NA,no,0:00:01,BNA,3,
10-07-2019 22-46-16 C Left Bank Underwater,1,coho,0:00:03,female,0:00:03,no,0:00:04,NA,NA,no,0:00:01,BNA,3,
2019-10-08 14-13-36 C Left Bank Underwater,1,coho,0:00:01,male,0:00:01,no,0:00:01,NA,NA,no,0:00:01,BNA,3,
2019-10-08 14-06-30 C Left Bank Underwater,1,coho,0:00:01,female,0:00:02,no,0:00:02,NA,NA,no,0:00:01,BNA,3,
2019-10-08 14-30-12 C Left Bank Underwater,1,coho,0:00:01,male,0:00:01,no,0:00:03,NA,NA,no,0:00:03,BNA,3,
